Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-08 19:27:24.408676+05:30 IST Asia/Kolkata,BIOUSD,10,buy,10/0,0.1614,0.17771,,16.14,0.0095226,0,0,market_order,closed,,,914535292
2025-09-08 18:48:21.740661+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4347.65,4563.45,,43.4765,0.02565114,0,0,market_order,closed,,,914444316
2025-09-08 18:44:09.247076+05:30 IST Asia/Kolkata,BCHUSD,15,buy,15/0,595.71,655.25,,89.3565,0.05272034,0,0,market_order,closed,,,914433246
2025-09-08 18:43:28.257450+05:30 IST Asia/Kolkata,BIOUSD,12,buy,12/0,0.16466,0.18083,,19.7592,0.01165793,0,0,market_order,closed,,,914431096
2025-09-08 18:42:00.025548+05:30 IST Asia/Kolkata,POLUSD,10,buy,10/0,0.2785,0.3061,,27.85,0.0164315,0,0,market_order,closed,,,914425827
2025-09-08 18:03:54.625650+05:30 IST Asia/Kolkata,POLUSD,18,buy,18/0,0.2779,0.3054,,50.022,0.02951298,0,0,market_order,closed,,,914361287
2025-09-08 18:02:35.588985+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4316.3,4532,,43.163,0.02546617,0,0,market_order,closed,,,914359637
2025-09-08 18:02:18.587920+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,111979,117568,,111.979,0.06606761,0,0,market_order,closed,,,914359308
2025-09-08 17:59:47.731149+05:30 IST Asia/Kolkata,BCHUSD,15,buy,15/0,593.41,652.69,,89.0115,0.05251679,0,0,market_order,closed,,,914356695
2025-09-08 17:45:44.040056+05:30 IST Asia/Kolkata,POLUSD,20,buy,20/0,0.2768,0.3043,,55.36,0.0326624,0,0,market_order,closed,,,914341143
2025-09-08 16:54:29.757579+05:30 IST Asia/Kolkata,POLUSD,1,buy,1/0,0.2787,0.3064,,2.787,0.00164433,0,0,market_order,closed,,,914220331
2025-09-08 16:12:40.697875+05:30 IST Asia/Kolkata,BTCUSD,3,sell,3/0,112091,106490.5,,336.273,0.19840107,3.0525,3.0525,market_order,closed,,,914125404
2025-09-08 16:11:34.569373+05:30 IST Asia/Kolkata,BIOUSD,10,buy,10/0,0.1681,0.18485,,16.81,0.0099179,0,0,market_order,closed,,,914123683
2025-09-08 16:11:00.679642+05:30 IST Asia/Kolkata,ETHUSD,5,sell,5/0,4324.9,4109,,216.245,0.12758455,1.587,1.587,market_order,closed,,,914122795
2025-09-08 13:07:07.827718+05:30 IST Asia/Kolkata,XRPUSD,30,sell,30/0,2.8948,2.6052,,86.844,0.05123796,0.99,0.99,market_order,closed,,,913805551
2025-09-08 13:06:48.218251+05:30 IST Asia/Kolkata,LTCUSD,2,buy,2/0,112.84,124.13,,22.568,0.01331512,0,0,market_order,closed,,,913805060
2025-09-08 11:24:15.380733+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,110962,116511.5,,110.962,0.06546758,0,0,market_order,closed,,,913684191
2025-09-08 11:24:02.978334+05:30 IST Asia/Kolkata,BCHUSD,1,buy,1/0,600.91,660.92,,6.0091,0.00354537,0,0,market_order,closed,,,913683967
2025-09-08 11:23:17.656078+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4293.25,4508.25,,85.865,0.05066035,0,0,market_order,closed,,,913683376
2025-09-08 11:22:27.861533+05:30 IST Asia/Kolkata,BNBUSD,1,buy,1/0,875.06,962.488,,87.506,0.05162854,0,0,market_order,closed,,,913682649
2025-09-08 11:21:58.000923+05:30 IST Asia/Kolkata,LTCUSD,2,buy,2/0,113.18,124.52,,22.636,0.01335524,0,0,market_order,closed,,,913682141
2025-09-08 08:51:22.220414+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,207.571,186.8451,,207.571,0.12246689,4.83,4.83,market_order,closed,,,913481864
2025-09-08 08:51:05.523655+05:30 IST Asia/Kolkata,DOGEUSD,3,sell,3/0,0.23259,0.209308,,69.777,0.04116843,3.084,3.084,market_order,closed,,,913481488
2025-09-08 08:50:58.485907+05:30 IST Asia/Kolkata,ALGOUSD,300,sell,300/0,0.2334,0.2102,,70.02,0.0413118,1.35,1.35,market_order,closed,,,913481326
2025-09-08 01:20:18.471114+05:30 IST Asia/Kolkata,ALGOUSD,300,buy,300/0,0.2289,0.2515,,68.67,0.0405153,0,0,market_order,closed,,,913149423
2025-09-08 01:19:54.997702+05:30 IST Asia/Kolkata,DOGEUSD,3,buy,3/0,0.22231,0.244579,,66.693,0.03934887,0,0,market_order,closed,,,913149071
2025-09-08 01:19:33.469818+05:30 IST Asia/Kolkata,LTCUSD,7,buy,7/0,114.4,125.81,,80.08,0.0472472,0,0,market_order,closed,,,913148891
2025-09-08 01:19:13.392820+05:30 IST Asia/Kolkata,BNBUSD,1,buy,1/0,876.87,964.54,,87.687,0.05173533,0,0,market_order,closed,,,913148681
2025-09-08 01:18:48.357573+05:30 IST Asia/Kolkata,XRPUSD,30,buy,30/0,2.8618,3.1477,,85.854,0.05065386,0,0,market_order,closed,,,913148414
2025-09-08 01:18:11.348924+05:30 IST Asia/Kolkata,SOLUSD,1,buy,1/0,202.741,223.0305,,202.741,0.11961719,0,0,market_order,closed,,,913147977
2025-09-08 01:17:55.863535+05:30 IST Asia/Kolkata,ETHUSD,3,buy,3/0,4293.1,4507.65,,128.793,0.07598787,0,0,market_order,closed,,,913147820
2025-09-08 01:17:39.146209+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,111191.5,116747,,111.1915,0.06560299,0,0,market_order,closed,,,913147661
2025-09-08 01:17:20.660538+05:30 IST Asia/Kolkata,BIOUSD,10,buy,10/0,0.16131,0.17746,,16.131,0.00951729,0,0,market_order,closed,,,913147484
2025-09-07 20:59:58.405184+05:30 IST Asia/Kolkata,BIOUSD,1,buy,1/0,0.16385,0.18015,,1.6385,0.00087005,0,0,market_order,closed,,,912795621
2025-09-07 20:53:50.516027+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,203.8,183.4673,,203.8,0.1082178,0.609,0.609,market_order,closed,,,912786723
2025-09-07 20:53:26.101168+05:30 IST Asia/Kolkata,DOTUSD,1,buy,1/0,3.995,4.392,,3.995,0.00212135,0,0,market_order,closed,,,912786201
2025-09-07 20:41:27.716615+05:30 IST Asia/Kolkata,BCHUSD,1,buy,1/0,603.31,663.61,,6.0331,0.00320358,0,0,market_order,closed,,,912756303
2025-09-07 20:08:44.382366+05:30 IST Asia/Kolkata,DOGEUSD,2,sell,2/0,0.22473,0.202235,,44.946,0.02386633,1.416,1.416,market_order,closed,,,912705835
2025-09-07 19:08:46.380823+05:30 IST Asia/Kolkata,AVAXUSD,26,sell,26/0,24.596,22.1303,,639.496,0.33957238,2.184,2.184,market_order,closed,,,912594301
2025-09-07 19:01:06.507058+05:30 IST Asia/Kolkata,SOLUSD,1,buy,1/0,203.191,223.4923,,203.191,0.10789443,0,0,market_order,closed,,,912582079
2025-09-07 18:58:15.461672+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,111067,1.1662E+5,,111.067,0.05897658,0,0,market_order,closed,,,912578544
2025-09-07 15:30:06.021189+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.462,26.8881,,48.924,0.02597865,0,0,market_order,closed,,,912289892
2025-09-07 15:05:59.164624+05:30 IST Asia/Kolkata,AVAXUSD,20,buy,20/0,24.503,26.9385,,490.06,0.26022186,0,0,market_order,closed,,,912248250
2025-09-07 14:47:31.075670+05:30 IST Asia/Kolkata,AVAXUSD,4,buy,4/0,24.582,27.035,,98.328,0.05221217,0,0,market_order,closed,,,912217358
2025-09-07 14:46:46.992397+05:30 IST Asia/Kolkata,DOGEUSD,2,buy,2/0,0.21765,0.239403,,43.53,0.02311443,0,0,market_order,closed,,,912216089
2025-09-07 11:49:44.847137+05:30 IST Asia/Kolkata,BTCUSD,4,sell,4/0,110536.5,105009,,442.146,0.23477953,0.0565,0.0565,market_order,closed,,,911940712
2025-09-07 11:49:44.525806+05:30 IST Asia/Kolkata,DOGEUSD,7,sell,7/0,0.21704,0.19532,,151.928,0.08067377,2.364,2.364,market_order,closed,,,911940711
2025-09-07 11:49:44.334707+05:30 IST Asia/Kolkata,AVAXUSD,8,sell,8/0,24.644,22.1776,,197.152,0.10468772,3.024,3.024,market_order,closed,,,911940710
2025-09-07 11:49:44.407772+05:30 IST Asia/Kolkata,XRPUSD,45,sell,45/0,2.8199,2.5379,,126.8955,0.06738152,0.4665,0.4665,market_order,closed,,,911940709
2025-09-07 11:49:44.211712+05:30 IST Asia/Kolkata,LTCUSD,12,sell,12/0,113.64,102.29,,136.368,0.07241141,2.104,2.104,market_order,closed,,,911940708
2025-09-07 11:49:44.103499+05:30 IST Asia/Kolkata,ALGOUSD,728,sell,728/0,0.229,0.2062,,166.712,0.08852408,1.0336,1.0336,market_order,closed,,,911940707
2025-09-07 11:49:43.984701+05:30 IST Asia/Kolkata,SUIUSD,4,sell,4/0,3.3747,3.0373,,13.4988,0.00716787,0.1276,0.1276,market_order,closed,,,911940706
2025-09-07 11:49:43.904155+05:30 IST Asia/Kolkata,FLOKIUSD,35,sell,35/0,0.0000911,0.000082,,31.885,0.01693094,0.567,0.567,market_order,closed,,,911940705
2025-09-07 11:49:43.513076+05:30 IST Asia/Kolkata,AVAXUSD,8,sell,0/8,,,24.5805,,0,,,market_order,cancelled,cancelled_by_user,,911921269
