Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-05 20:27:42.507554+05:30 IST Asia/Kolkata,AVAXUSD,4,buy,4/0,24.366,26.7995,,97.464,0.05175339,0,0,market_order,closed,,,909195283
2025-09-05 20:27:12.077101+05:30 IST Asia/Kolkata,XRPUSD,25,buy,25/0,2.8172,3.0976,,70.43,0.03739833,0,0,market_order,closed,,,909193781
2025-09-05 20:26:47.156861+05:30 IST Asia/Kolkata,FLOKIUSD,25,buy,25/0,0.0000896,0.00009864,,22.4,0.0118944,0,0,market_order,closed,,,909192497
2025-09-05 20:26:05.872890+05:30 IST Asia/Kolkata,BTCUSD,2,buy,2/0,110696.5,116252.5,,221.393,0.11755969,0,0,market_order,closed,,,909189816
2025-09-05 20:25:50.456887+05:30 IST Asia/Kolkata,ETHUSD,4,buy,4/0,4288.6,4500.85,,171.544,0.09108987,0,0,market_order,closed,,,909188949
2025-09-05 20:25:31.391603+05:30 IST Asia/Kolkata,LTCUSD,8,buy,8/0,112.11,123.25,,89.688,0.04762433,0,0,market_order,closed,,,909187894
2025-09-05 20:25:04.945103+05:30 IST Asia/Kolkata,DOGEUSD,5,buy,5/0,0.21406,0.235384,,107.03,0.05683293,0,0,market_order,closed,,,909186368
2025-09-05 20:24:46.555799+05:30 IST Asia/Kolkata,ALGOUSD,400,buy,400/0,0.2284,0.2509,,91.36,0.04851216,0,0,market_order,closed,,,909185367
2025-09-05 20:22:30.822723+05:30 IST Asia/Kolkata,FLOKIUSD,10,buy,10/0,0.00008918,0.000098,,8.918,0.00473546,0,0,market_order,closed,,,909177917
2025-09-05 20:22:11.083812+05:30 IST Asia/Kolkata,SUIUSD,4,buy,4/0,3.3428,3.6783,,13.3712,0.00710011,0,0,market_order,closed,,,909176818
2025-09-05 20:21:55.329092+05:30 IST Asia/Kolkata,ALGOUSD,200,buy,200/0,0.2274,0.2495,,45.48,0.02414988,0,0,market_order,closed,,,909175844
2025-09-05 20:21:26.951304+05:30 IST Asia/Kolkata,DOGEUSD,2,buy,2/0,0.21267,0.234122,,42.534,0.02258556,0,0,market_order,closed,,,909174044
2025-09-05 20:21:14.472216+05:30 IST Asia/Kolkata,LTCUSD,4,buy,4/0,111.44,122.66,,44.576,0.02366986,0,0,market_order,closed,,,909173246
2025-09-05 20:20:56.770676+05:30 IST Asia/Kolkata,XRPUSD,15,buy,15/0,2.801,3.0842,,42.015,0.02230997,0,0,market_order,closed,,,909171466
2025-09-05 20:20:37.835408+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.192,26.5964,,48.384,0.02569191,0,0,market_order,closed,,,909169849
2025-09-05 20:20:11.818402+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4273,4491.1,,85.46,0.04537926,0,0,market_order,closed,,,909168462
2025-09-05 20:20:00.438231+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,110666.5,1.1623E+5,,110.6665,0.05876392,0,0,market_order,closed,,,909167913
2025-09-05 18:29:42.108966+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,113206.5,107532.5,,113.2065,0.06011266,0.8515,0.8515,market_order,closed,,,908813642
2025-09-05 18:29:42.192471+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,4468.8,4243.9,,44.688,0.02372933,1.103,1.103,market_order,closed,,,908813641
